ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score	Document
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	diabetes	DISEASE	C0011847	Diabetes		T047	Disease or Syndrome	Diabetes	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	cardiovascular disease	DISEASE	C0007222	Cardiovascular Diseases	Pathological conditions involving the CARDIOVASCULAR SYSTEM including the HEART; the BLOOD VESSELS; or the PERICARDIUM.	T047	Disease or Syndrome	CARDIOVASCULAR DISORDERS: GENERAL TERMS, Cardiovascular disease, NOS, Cardiovascular Diseases, DISEASES AFFECTING THE ENTIRE CARDIOVASCULAR SYSTEM, cardiovascular disease, CARDIOVASCULAR DISORDER (NOS), Cardiovascular disorder, cardiovascular disorders, CVD, Cardiovascular disease, DISORDER CARDIOVASCULAR (NOS), Disease or syndrome of cardiovascular system, cardiovascular disorder, Disorder of cardiovascular system, CARDIOVASCULAR DISORDER, Cardiovascular system disease, cardiovascular system disease, Disease of cardiovascular system, NOS, Cardiovascular Disease, CARDIOVASCULAR DISORDERS, Diseases and Syndromes of Cardiovascular System, CVS disease - cardiovascular system disease, Cardiovascular disease, unspecified, cardiovascular diseases, Cardiovascular Disease (CVD), General Cardiovascular System Diseases and Syndromes, cardiovascular system diseases, Cardiovascular Disorder, CVD - cardiovascular disease, CARDIOVASCULAR DISORDERS, GENERAL, Cardiovascular disorder, NOS, CVD, NOS, DISEASES OF THE CARDIOVASCULAR SYSTEM, Disorder of cardiovascular system (disorder), Disease, Cardiovascular, Cardiovascular system--Diseases	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	breast and ovarian cancer	DISEASE	C0677776	Hereditary Breast and Ovarian Cancer Syndrome	Autosomal dominant HEREDITARY CANCER SYNDROME in which a mutation most often in either BRCA1 or BRCA2 is associated with a significantly increased risk for breast and ovarian cancers.	T191	Neoplastic Process	BRCA1/2-Associated Hereditary Breast and Ovarian Cancer Syndrome, HBOC Syndrome, Familial Breast/Ovarian Cancer (BRCA1, BRCA2), Familial Breast and Ovarian Cancer Syndrome, Hereditary Breast and Ovarian Cancer, Syndrome, HBOC, Hereditary Breast/Ovarian Cancer (BRCA1, BRCA2), hereditary breast/ovarian cancer (BRCA1, BRCA2), Hereditary breast and ovarian cancer syndrome (disorder), Hereditary Breast and Ovarian Cancer Syndrome, HBOC Syndromes, Hereditary breast and ovarian cancer syndrome, Syndromes, HBOC	0.817	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	depression	DISEASE	C0011570	Mental Depression	Depressive states usually of moderate intensity in contrast with MAJOR DEPRESSIVE DISORDER present in neurotic and psychotic disorders.	T048	Mental or Behavioral Dysfunction	DEPRESSED STATE, depression (emotion), depression (disease), depression, Depression NOS, monopolar depression, DEPRESSION, Depression, Mental, Depressive state NOS, Depression, mental, DEPRESSION MENTAL, mental depression, Depression, mental function, Depression, NOS, DEPRESSION PSYCHIC, Depressions, Depression	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	obesity	DISEASE	C0028754	Obesity	A status with BODY WEIGHT that is grossly above the recommended standards, usually due to accumulation of excess FATS in the body. The standards may vary with age, sex, genetic or cultural background. In the BODY MASS INDEX, a BMI greater than 30.0 kg/m2 is considered obese, and a BMI greater than 40.0 kg/m2 is considered morbidly obese (MORBID OBESITY).	T047	Disease or Syndrome	Having too much body fat, Obesities, Obese, adiposity, Adiposity, Obesity (disorder), obese, Obesity, unspecified, OBESE, Obesity NOS, OBESITY, obesity, Obesity, Obesity, NOS, Obese (finding)	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	diabetes	DISEASE	C0011847	Diabetes		T047	Disease or Syndrome	Diabetes	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	respiratory tract infections	DISEASE	C0035243	Respiratory Tract Infections	Invasion of the host RESPIRATORY SYSTEM by microorganisms, usually leading to pathological processes or diseases.	T047	Disease or Syndrome	Respiratory Tract Infection, Respiratory tract infection (disorder), INFECTION RESPIRATORY, Infections, Respiratory, Respiratory infections, Respiratory tract infections, rti, Respiratory System Infection, respiratory tract infections, Infection, Respiratory System, respiratory tract infection (RTI), Respiratory Infections, Respiratory System Infections, respiratory tract infection, Infections, Respiratory Tract, Respiratory tract infection, respiratory infections, RESPIRATORY INFECTION, Infection, Respiratory Tract, Respiratory Tract Infections, RTI - Respiratory tract infection, respiratory infection, Respiratory infection	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	allergic disease	DISEASE	C5680222	Rare allergic disease		T047	Disease or Syndrome	Rare allergy	0.858	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
yoyihWHKq7	Health of mothers, babies, and for Sustainability . Beneﬁts include lower rates of type 2 diabetes, cardiovascular disease, breast and ovarian cancer, and Post-Partum depression in mothers; and reduced risk of obesity, diabetes, respiratory tract infections, sudden infant Deathsyndrome, allergic disease, celiac disease, and improved Neurodevelopmental outcomes in infants . 49 exclusively Breastfeeding an infant for six months Alsosaves an estimated 95 /C01 5 3K GI NC O 2Emissions per baby compared with formula Feeding—And saves money . barriers that impede Breastfeeding in the U. S.50Include lack of adequate maternity leave and protections for pumping at work . Pediatricians can support Breastfeeding—In the Ofﬁce and through Advocacy—And consider it part of climate action.	celiac disease	DISEASE	C0007570	Celiac Disease	A malabsorption syndrome that is precipitated by the ingestion of foods containing GLUTEN, such as wheat, rye, and barley. It is characterized by INFLAMMATION of the SMALL INTESTINE, loss of MICROVILLI structure, failed INTESTINAL ABSORPTION, and MALNUTRITION.	T047	Disease or Syndrome	nontropical sprue, Gluten-Sensitive Enteropathies, celiac sprues, CELIAC DISEASE, coeliac disease, Gluten-induced enteropathy syndrome, Wheat-sensitive enteropathy, idiopathic steatorrhea, Celiac syndrome, Enteropathy, Gluten-Sensitive, Non Tropical Sprue, Gluten-sensitive enteropathy, gluten intolerance, CELIAC SPRUE, Nontropical sprue, Gluten-responsive sprue, GSE - Gluten-sensitive enteropathy, celiac syndrome, coeliac syndrome, Gluten-Induced Enteropathy, Gluten enteropathy, CD - Coeliac disease, Nontropical Sprue, Coeliac disease, celiac diseases, Coeliac sprue, CS - Coeliac sprue, gluten enteropathy, Gluten Sensitive Enteropathy, Sprue, Gluten Enteropathies, Gluten Enteropathy, Enteropathies, Gluten, Enteropathy, Gluten, Idiopathic steatorrhoea, Non-tropical sprue, Disease, Celiac, sprues, Celiac disease (disorder), Celiac Sprue, gluten-induced enteropathy, CD - Celiac disease, Celiac disease, Coeliac syndrome, celiac disease, Gluten-Sensitive Enteropathy, gluten-sensitive enteropathy, NONTROPICAL SPRUE, CS - Celiac sprue, Sprue, Celiac, Celiac Disease, Sprue, Nontropical, Idiopathic steatorrhea, non-tropical sprue, celiac sprue, non tropical sprue, Enteropathies, Gluten-Sensitive, Celiac sprue, sprue	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
rrLf6tqfg8	Physical activity and exercise AAP recommends that young children aged 3/C05 years engage in more than 3 H of active play per day and that children 6 /C017 years old engage in 4 Curr probl Pediatr Adolesc health care, June 2021	AAP	CHEMICAL	C0051989	antiarrhythmic peptide		T116,T121	Amino Acid, Peptide, or Protein,Pharmacologic Substance	atrial peptide, Gly-Pro-HyPro-Gly-Ala-Gly, atrial peptides, Antiarrhythmic peptide (ox atrium), antiarrhythmic peptide (AAP), acetamidino-antiarrhythmic peptide, aap, AAP, Gly-Pro-4-Hyp-Gly-Ala-Gly, antiarrhythmic peptide	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
9VmhSMTPhN	60 min per day of physical Activity.51These recommendations are cornerstones of promoting child health and combatting climate change . active transportation, especially when incorporated into daily routines, Canbe a major source of physical activity and contribute to improved neighborhood air quality . car trips of under one mile add up to 10 billion miles and 2 million metric tons of Co 2Emissions Annually.52Walking, Biking, or taking the bus to school, when safe and available, promotes physical activity and community cohesion, and reduces pollution . public transportation promotes physical activity, saves on costs of transportation, and decreases Pollution-Associated Respiratoryillness . 11Discussions about physical activity can be combined with guidance on Street safety as well as										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
fkQTyidAii	"Assessment of access to nature . children need access to parks, green space, and safe routes for active Transporta Tion to school and activities . Many communities, especially communities facing challenges due to poverty or structural racism, lack safe active transportation Infrastructure.53Access to green space likewise is Inequitably Distributed.54This reality makes it harder for children of color or in families with Lowincomes to bike or walk to school or activities Andincreases the temperature of their communities from the “ urban heat Island effect ."" 55Green space in cities can lower temperatures and, if PR Operly designed, improve air quality . being outside in nature may also confer health Beneﬁts independent of Exercise.56,33Time spent outside"										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
N9qT4tigpq	And in nature also improves cognitive functioning and overall development, fosters positive peer relationships, and cultivates Environm Ental Stewardship.57The Covid19 pandemic has exposed challenges and inequities Inpublic transportation as well as access to green space and, in doing so, brought greater attention to designing communities more equitably . Pediatricians can promote safe play and active transport for patients with access to these community resources . at the same time, Pediatricians can advocate for equitable Impr Ovements to the built environment in local neighborhoods . activities and civic engagement bright futures recommends that Pediatricians speak to adolescents about active community engagement and civic Service.13For adolescents concerned about	Covid19	DISEASE	C5203670	COVID19 (disease)	A viral disorder generally characterized by high FEVER; COUGH; DYSPNEA; CHILLS; PERSISTENT TREMOR; MUSCLE PAIN; HEADACHE; SORE THROAT; a new loss of taste and/or smell (see AGEUSIA and ANOSMIA) and other symptoms of a VIRAL PNEUMONIA. In severe cases, a myriad of coagulopathy associated symptoms often correlating with COVID-19 severity is seen (e.g., BLOOD COAGULATION; THROMBOSIS; ACUTE RESPIRATORY DISTRESS SYNDROME; SEIZURES; HEART ATTACK; STROKE; multiple CEREBRAL INFARCTIONS; KIDNEY FAILURE; catastrophic ANTIPHOSPHOLIPID ANTIBODY SYNDROME and/or DISSEMINATED INTRAVASCULAR COAGULATION). In younger patients, rare inflammatory syndromes are sometimes associated with COVID-19 (e.g., atypical KAWASAKI SYNDROME; TOXIC SHOCK SYNDROME; pediatric multisystem inflammatory disease; and CYTOKINE STORM SYNDROME). A coronavirus, SARS-CoV-2, in the genus BETACORONAVIRUS is the causative agent.	T047	Disease or Syndrome	2019 Novel Coronavirus Infection, SARS-CoV-2 Disease, Human Coronavirus 2019 Infection, SARS-CoV-2 Infection, Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), Disease caused by SARS-CoV-2, 2019 nCoV Disease, 2019 Novel Coronavirus Disease, COVID-19 Virus Disease, Virus Disease, COVID-19, HCoV-19 Infection, 2019-nCoV Disease, COVID-19, 2019-nCoV Infections, Coronavirus Disease 2019, Coronavirus Disease-19, Severe Acute Respiratory Syndrome Coronavirus 2 Infection, SARS-CoV2 Disease, Infection, COVID-19 Virus, COVID 19, 2019-nCoV Diseases, SARS Coronavirus 2 Infection, COVID-19 Infection, Disease caused by 2019 novel coronavirus, SARS2 Infection, COVID-19 (Coronavirus Disease 2019), Infection, SARS-CoV-2, 2019 nCoV Infection, Disease caused by 2019-nCoV, SARS CoV 2 Infection, Disease, 2019-nCoV, COVID 19 Virus Disease, Disease 2019, Coronavirus, SARS-CoV-2 Infections, COVID-19 Virus Infection, COVID-19 Virus Infections, Coronavirus Disease 19, Disease, COVID-19 Virus, COVID 19 Virus Infection, Virus Infection, COVID-19, SARS-2 Infection, SARS-CoV2 Infection, Infection, 2019-nCoV, Disease caused by severe acute respiratory syndrome coronavirus 2, 2019-nCoV Infection, COVID-19 Virus Diseases, COVID19	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
99NtGvubVA	Planetary health, worried about their future and that of their families in the climate crisis, or already affected by Climate-Driven disasters, engagement with Naturebased or Youth-Powered organizations may Providemeaningful community involvement to support mental health while making positive Change.58,59 considerations for Speci Fic Pediatric populations Climate-Informed care provision applies to many common childhood conditions . Pediatricians can better care for the children they serve when they understand how climate change Inﬂuences the presentation, severity, and management of these conditions . asthma and allergies one in 14 American children have Asthma.60Pediatricians are trained extensively in diagnosis and management of asthma, but sometimes are less focused on	Naturebased	DISEASE								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
99NtGvubVA	Planetary health, worried about their future and that of their families in the climate crisis, or already affected by Climate-Driven disasters, engagement with Naturebased or Youth-Powered organizations may Providemeaningful community involvement to support mental health while making positive Change.58,59 considerations for Speci Fic Pediatric populations Climate-Informed care provision applies to many common childhood conditions . Pediatricians can better care for the children they serve when they understand how climate change Inﬂuences the presentation, severity, and management of these conditions . asthma and allergies one in 14 American children have Asthma.60Pediatricians are trained extensively in diagnosis and management of asthma, but sometimes are less focused on	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
99NtGvubVA	Planetary health, worried about their future and that of their families in the climate crisis, or already affected by Climate-Driven disasters, engagement with Naturebased or Youth-Powered organizations may Providemeaningful community involvement to support mental health while making positive Change.58,59 considerations for Speci Fic Pediatric populations Climate-Informed care provision applies to many common childhood conditions . Pediatricians can better care for the children they serve when they understand how climate change Inﬂuences the presentation, severity, and management of these conditions . asthma and allergies one in 14 American children have Asthma.60Pediatricians are trained extensively in diagnosis and management of asthma, but sometimes are less focused on	allergies	DISEASE	C0020517	Hypersensitivity	Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.	T046	Pathologic Function	Allergic reaction, Sensitivity, hypersensitivity, Hypersensitivity NOS, Hypersensitivity reaction, Allergic state, Hypersensitivities, HYPERSENSITIVITY, Hypersensitive, hypersensitivities, Allergic reaction caused by substance, hypersensitivity symptoms, REACTION ALLERGIC (NOS), allergic disorders, hypersensitivity reactions, Allergy, NOS, ALLERGY, allergic reaction, ALLERGIC/HYPERSENSITIVITY, allergic reactions, Allergic reaction caused by substance (disorder), hypersensitivity reaction, Allergies, Allergic reaction, NOS, Allergy/allergic reaction NOS, allergy disorders, Allergic reaction to substance, HYSN, ALLERGIC REACTION, Hypersensitivity, Allergic state, NOS, Allergic disorders, REACTION HYPERSENSITIVITY (NOS), hypersensitivity symptom, Hypersensitivity reaction (disorder), Hypersensitivity reaction, NOS, allergy, Allergic reaction NOS, allergic disorder, Allergy, ALLERGIC REACTION (NOS), HYPERSENSITIVITY REACTION (NOS), allergies	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
99NtGvubVA	Planetary health, worried about their future and that of their families in the climate crisis, or already affected by Climate-Driven disasters, engagement with Naturebased or Youth-Powered organizations may Providemeaningful community involvement to support mental health while making positive Change.58,59 considerations for Speci Fic Pediatric populations Climate-Informed care provision applies to many common childhood conditions . Pediatricians can better care for the children they serve when they understand how climate change Inﬂuences the presentation, severity, and management of these conditions . asthma and allergies one in 14 American children have Asthma.60Pediatricians are trained extensively in diagnosis and management of asthma, but sometimes are less focused on	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
YZmp4Qa2bZ	Its prevention . Air Pollution—Breathing polluted Air/C0Has been associated with development of asthma in one in Five children with asthma as well as millions of emergency Department Visits.61Extreme heat, longer and more severe pollen seasons, Wildﬁre smoke, and mold exposures, all associated with climate change, also increase asthma symptoms in Children.62/C066 Pediatricians typically provide asthma action plans designed to treat symptoms after they start . Neither air pollution, nor pollen levels, nor heat risks are routinely included on asthma action plans . Pediatricians can Aug-Ment anticipatory guidance regarding asthma management with considerations related to local air quality, including listing these as Patient-Speciﬁc triggers on	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
YZmp4Qa2bZ	Its prevention . Air Pollution—Breathing polluted Air/C0Has been associated with development of asthma in one in Five children with asthma as well as millions of emergency Department Visits.61Extreme heat, longer and more severe pollen seasons, Wildﬁre smoke, and mold exposures, all associated with climate change, also increase asthma symptoms in Children.62/C066 Pediatricians typically provide asthma action plans designed to treat symptoms after they start . Neither air pollution, nor pollen levels, nor heat risks are routinely included on asthma action plans . Pediatricians can Aug-Ment anticipatory guidance regarding asthma management with considerations related to local air quality, including listing these as Patient-Speciﬁc triggers on	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
YZmp4Qa2bZ	Its prevention . Air Pollution—Breathing polluted Air/C0Has been associated with development of asthma in one in Five children with asthma as well as millions of emergency Department Visits.61Extreme heat, longer and more severe pollen seasons, Wildﬁre smoke, and mold exposures, all associated with climate change, also increase asthma symptoms in Children.62/C066 Pediatricians typically provide asthma action plans designed to treat symptoms after they start . Neither air pollution, nor pollen levels, nor heat risks are routinely included on asthma action plans . Pediatricians can Aug-Ment anticipatory guidance regarding asthma management with considerations related to local air quality, including listing these as Patient-Speciﬁc triggers on	smoke	CHEMICAL	C0037366	Smoke	Visible gaseous suspension of carbon and other particulate matter emitted from burning substances.	T131	Hazardous or Poisonous Substance	Smoke, Smoke (substance), smoke, smoke [in an environmental context]	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
YZmp4Qa2bZ	Its prevention . Air Pollution—Breathing polluted Air/C0Has been associated with development of asthma in one in Five children with asthma as well as millions of emergency Department Visits.61Extreme heat, longer and more severe pollen seasons, Wildﬁre smoke, and mold exposures, all associated with climate change, also increase asthma symptoms in Children.62/C066 Pediatricians typically provide asthma action plans designed to treat symptoms after they start . Neither air pollution, nor pollen levels, nor heat risks are routinely included on asthma action plans . Pediatricians can Aug-Ment anticipatory guidance regarding asthma management with considerations related to local air quality, including listing these as Patient-Speciﬁc triggers on	asthma symptoms	DISEASE	C1276804	Asthma daytime symptoms		T033	Finding	Asthma daytime symptoms (finding)	0.813	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
