ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score
kqQhjqHgjW	Histoplasmosis									
Gv27z5nMqT	Pleural tuberculosis	Pleural tuberculosis	DISEASE	C0041326	Pleural Tuberculosis	Tuberculosis of the serous membrane lining the thoracic cavity and surrounding the lungs.	T047	Disease or Syndrome	pleural tuberculosis, TUBERCULOUS PLEURISY, Pleurisies, Tuberculous, Pleural Tuberculosis, tuberculous pleurisy, Tuberculosis of Pleura, tb pleura, Tuberculous Pleurisy, Pleurisy, Tuberculous, Tuberculous pleuritis, pleurisy, tb, pleura tuberculosis, tuberculous pleuritis, Tuberculous pleurisy, Tuberculoses, Pleural, Tuberculous pleurisy, unspecified, Tuberculosis of pleura (disorder), Tuberculosis, Pleural, Tuberculous Pleurisies, Pleural Tuberculoses, Pearly disease, Tuberculosis of pleura, tb pleurisy, Tuberculous Pleuritis, tuberculosis pleural, Pleura--Tuberculosis	1.0
qX6g7sG27J	Hibiscus Chlorotic Ringspot virus infection	Ringspot virus infection	DISEASE	C1000338	Carnation ringspot virus		T005	Virus	carnation ringspot virus CRSV	0.756
u77w6cuKx7	Bulbar polio									
bTvFMmvB9z	Viral sexually transmitted disease									
4fHZst3JUS	Bordetella infections	Bordetella infections	DISEASE	C0006015	Bordetella Infections	Infections with bacteria of the genus BORDETELLA.	T047	Disease or Syndrome	bordetellosis, BORDETELLOSES, Bordetella Infection, Infection, Bordetella, Bordetellosis, NOS, Infections, Bordetella	1.0
cZsvoZrZGT	Pulmonary tuberculosis	Pulmonary tuberculosis	DISEASE	C0041327	Tuberculosis, Pulmonary	MYCOBACTERIUM infections of the lung.	T047	Disease or Syndrome	phthisis, Pulmonary Phthisis, PTB - Pulmonary tuberculosis, Tuberculosis of lung NOS, Respiratory tuberculosis NOS, Tuberculosis of respiratory system (disorder), Tuberculosis of respiratory system, Pulmonary Consumption, Tuberculoses, Pulmonary, Lung TB, Phthises, Pulmonary, Pulmonary TB, Unspecified pulmonary tuberculosis, Consumptions, Pulmonary, Consumption, Pulmonary, Pulmonary Tuberculoses, Phthisis, Pulmonary, TB - Pulmonary tuberculosis, Pulmonary tuberculosis, unspecified, unspecified, pulmonary tuberculoses, Pulmonary tuberculosis (disorder), Pulmonary Phthises, Lung Tuberculosis, TUBERCULOSIS, PULMONARY, Phthisis, Pulmonary Consumptions, Tuberculosis, pulmonary, Pulmonary Tuberculosis, lung tuberculosis, Tuberculosis respiratory, pulmonary tuberculosis, PHTHISIS, Pulmonary tuberculosis, Tuberculosis respiratory (excluding A70), Respiratory tuberculosis	1.0
SmB3tj4apG	Typhoid fever									
WFFmA6S4zX	Aeromonas Hydrophila infection	Aeromonas Hydrophila infection	DISEASE	C0085491	Aeromonas hydrophila	A species of gram-negative, facultatively anaerobic, rod-shaped bacteria that may be pathogenic for frogs, fish, and mammals, including man. In humans, cellulitis and diarrhea can result from infection with this organism.	T007	Bacterium	Aeromonas dourgesi, Aeromonas liquefaciens, Proteus ichthyosmius, aeromonas hydrophila, Aeromonas hydrophila (organism), aeromona hydrophila, Bacillus hydrophilus, Bacillus hydrophilus fuscus, Bacterium hydrophilum, Proteus hydrophilus, Pseudomonas hydrophila, Aeromonas hydrophila	0.851
7JLwxMnUxp	Pseudorabies									
ku6bwzTYHH	Ascaridiasis									
HYTXkfBgyQ	Pestivirus infectious disease	Pestivirus infectious disease	DISEASE	C0206611	Pestivirus Infections	Infections with viruses of the genus PESTIVIRUS, family FLAVIVIRIDAE.	T047	Disease or Syndrome	Disease due to Pestivirus, Pestivirus Infection, Infections, Pestivirus, Pestivirus infections, Disease due to Pestivirus (disorder), Infection, Pestivirus, DISEASES DUE TO PESTIVIRUS, Disease due to Pestivirus, NOS	0.803
az3Le5aVhK	Human T-Lymphotropic virus 2 infectious disease	T-Lymphotropic virus 2 infectious disease	DISEASE	C0020102	HTLV-II Infections	Diseases caused by HUMAN T-LYMPHOTROPIC VIRUS 2.	T047	Disease or Syndrome	Human T-lymphotropic virus 2 infection (disorder), Human T lymphotropic Virus 2 Infection, HTLV-2 infection, Human T-lymphotropic Virus 2 Infection, HTLV-II Infection, HTLV-II infection, Infections, HTLV-II, Human T-lymphotropic Virus 2 Infections, Human T-lymphotropic virus 2 infection, Infection, HTLV-II, Human T lymphotropic Virus 2 Infections, Infections, HTLV II	0.825
kEqFQ27aWF	Chlamydia Trachomatis infectious disease	Chlamydia Trachomatis infectious disease	DISEASE	C0518948	Chlamydia trachomatis infection		T047	Disease or Syndrome	Chlamydia trachomatis infection (disorder), CT - Chlamydia trachomatis infection, Chlamydial Infection Urogenital	0.875
XZPjCSUW2r	Paracoccidioidomycosis									
nbdBaCqFdd	Idiopathic acute transverse Myelitis	Idiopathic acute transverse Myelitis	DISEASE	C1719404	Idiopathic transverse myelitis	A rare immune-mediated inflammatory demyelinating disorder of the spinal cord with motor, sensory and autonomic involvement.	T047	Disease or Syndrome	Idiopathic transverse myelitis, Idiopathic transverse myelitis (disorder), Idiopathic acute transverse myelitis	1.0
exUXNF8Nfe	Infection due to Clostridium Perfringens	Infection	DISEASE	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	T047	Disease or Syndrome	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	1.0
exUXNF8Nfe	Infection due to Clostridium Perfringens	Clostridium Perfringens	DISEASE	C0009063	Clostridium perfringens	The most common etiologic agent of GAS GANGRENE. It is differentiable into several distinct types based on the distribution of twelve different toxins.	T007	Bacterium	clostridium welchii, clostridium perfringens, CLOSTRIDIUM PERFRINGENS, Welchia perfringens, c. perfringens, Clostridium welchii, Gas bacillus, Clostridium plagarum, Clostridium perfringens (organism), C. perfringens, Clostridium perfringens, Bacterium welchii, perfringens clostridium, Bacillus perfringens	1.0
dZkmGduEtU	Scrapie									
3oDK4KzWaB	Candidiasis, Invasive	Candidiasis	DISEASE	C0006840	Candidiasis	Infection with a fungus of the genus CANDIDA. It is usually a superficial infection of the moist areas of the body and is generally caused by CANDIDA ALBICANS. (Dorland, 27th ed)	T047	Disease or Syndrome	CANDIDIASIS, Candidiasis of unspecified site, MONILIASIS, Candidiasis (disorder), candida infections, Moniliasis, NOS, Moniliases, MONILIASIS MONILIA, muguet, Infection by Candida species, Monilia infection, monilial infection, candidosis, Moniliasis, thrush, moniliasis, candidal infections, Infection, Candida, candidal infection, candida infection, candidiasis, Candidosis, NOS, Candida Infections, Candidal infections, Candidiasis, NOS, Candidosis, Candida infection, Candidiases, Candida infections, candidiases, monilia infection, Candida Infection, Candidiasis	1.0
vNQuti3nwb	Clostridium difficile infection	Clostridium difficile infection	DISEASE	C0343386	Clostridium difficile infection	A bacterial infection caused by Clostridium difficile (Clostridioides difficile), which is a spore-forming, toxin-producing Gram-positive anaerobic bacillus that is transmitted by the fecal-oral route. Infection may cause symptoms ranging from diarrhea to life-threatening inflammation of the colon, and risk factors include use of antibiotic medication, advanced age, and hospital or long-term care facility admission.	T047	Disease or Syndrome	Clostridium difficile Infections, Infection caused by Clostridioides difficile, clostridium difficile infections, Clostridium difficile Infection, Infection with Clostridioides difficile, Infection, Clostridium difficile, Clostridium difficile infection, C. diff Infections, Infection, Clostridioides difficile, Clostridium difficile infections, Infection caused by Clostridioides difficile (disorder), Clostridioides difficile Infection, C. diff Infection, Clostridioides difficile infection, clostridium difficile infection, Clostridioides difficile infections	1.0
kvWaAtyBZj	Lipid pneumonia	Lipid pneumonia	DISEASE	C0032298	Pneumonia, Lipid	Pneumonia due to aspiration or inhalation of various oily or fatty substances or otherwise accumulation of endogenous lipid substances in the PULMONARY ALVEOLI.	T047	Disease or Syndrome	Pneumonia, lipid, lipid pneumonitis, lipoid pneumonia, lipid pneumonia, Lipoid Pneumonias, LIPOID PNEUMONIA, Pneumonitis due to inhalation of oils, Lipid Pneumonias, Lipid Pneumonia, Oil pneumonitis, Lipoid pneumonitis, LIPID PNEUMONIA, Pneumonia, Lipoid, Lipoid Pneumonia, Lipoid pneumonitis (disorder), Lipid pneumonia, oil pneumonitis, Exogenous lipoid pneumonia, Pneumonia, Lipid, Lipid pneumonitis, Lipoid pneumonia, Oil aspiration pneumonia, Pneumonia, lipoid	1.0
Gaa5gBhTjJ	Syphilis									
uTDurfhgjY	Nematoda infectious disease	Nematoda infectious disease	DISEASE	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	T047	Disease or Syndrome	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	0.752
Ceedc8KQzb	Babesiosis									
FVTxBwbmrn	Cysticercosis									
xkBLVWj8bV	Prostatitis									
9xoUGgEbNr	Tularemia	Tularemia	DISEASE	C0041351	Tularemia	A plague-like disease of rodents, transmissible to man. It is caused by FRANCISELLA TULARENSIS and is characterized by fever, chills, headache, backache, and weakness.	T047	Disease or Syndrome	Francis' disease, Infection, Francisella tularensis, Infection by Francisella tularensis, OHARA DISEASE, Tularaemia, NOS, Deerfly fever, FRANCIS DISEASE, Rabbit fever, rabbit fever, Francisella tularensis Infections, Tularemia, O'Hara's disease, deerfly fever, Yatobyo, fever rabbits, Deer fly fever, tularaemia, Ohara's disease, Unspecified tularemia, tularemia, FEVER, RABBIT, TULAREMIA, tularemias, Francisella tularensis Infection, fever rabbit, Pahvant Valley plague, Pahvant Valley fever, Tularaemia, FEVER, DEER FLY, Tularemias, Tularemia, NOS, Tularemia (disorder)	1.0
py9ERoVC2T	Pulmonary Non-Tuberculous Mycobacterial infection	Pulmonary Non-Tuberculous	DISEASE	C3472679	Atypical mycobacterial infection of lung	A rare bacterial infectious disease caused by non-tuberculous mycobacteria (including &lt;i&gt;Mycobacterium avium&lt;/i&gt; complex, &lt;i&gt;Mycobacterium kansasii&lt;/i&gt;, or &lt;i&gt;Mycobacterium xenopi&lt;/i&gt;, among others), characterized by chronic pulmonary disease with symptoms like chronic cough (with or without sputum production), chest pain, and weight loss. Predisposing factors are preexisting lung conditions, neoplasms, immunosuppression, or thoracic skeletal abnormalities.	T047	Disease or Syndrome	Nontuberculous mycobacterial lung disease, Non-tuberculous mycobacterial lung disease, Atypical mycobacterial infection of lung (disorder), Pulmonary non-tuberculous mycobacterial infection	0.796
MeiBZqDjZn	Scarlet fever	Scarlet fever	DISEASE	C0036285	Scarlet Fever	Infection with group A streptococci that is characterized by tonsillitis and pharyngitis. An erythematous rash is commonly present.	T047	Disease or Syndrome	Scarlet fever (disorder), Fever, Scarlet, Scarlet fever, SCARLET FEVER, scarlatina, scarlet fever, Scarlet Fevers, Fevers, Scarlet, SCARLATINA, Scarlet Fever, Scarlatina	1.0
MChixYoGXE	Actinomycosis	Actinomycosis	DISEASE	C0001261	Actinomycosis	Infections with bacteria of the genus ACTINOMYCES.	T047	Disease or Syndrome	Actinomycotic infection, Infection, Actinomyces, Actinomycosis, Actinomycotic infection of unspecified site, ACTINOMYCOTIC INFECTIONS, Actinomyces Infection, Actinomycosis NOS, actinomyces infection, actinomycosis, Actinomyces Infections, ACTINOMYCOSIS, Actinomycotic infection (disorder), Actinomycosis, NOS, actinomycoses, actinomycotic infection, Infections, Actinomyces, Actinomycotic infection, NOS, Actinomycoses, Actinomycotic infections	1.0
gFRTBd6Noa	Gnathomiasis									
dTctq9kczr	Henipavirus infectious disease	Henipavirus infectious disease	DISEASE	C1258039	Henipavirus Infections	Infections with viruses of the genus HENIPAVIRUS, family PARAMYXOVIRIDAE.	T047	Disease or Syndrome	Infection caused by Henipavirus, Henipavirus infection, Infection, Henipavirus, Henipavirus Infection, Infection caused by Henipavirus (disorder)	0.844
RdG6znx3Xi	Hepatitis C virus infection									
iDxxvGVVQm	Severe Malarial anemia	anemia	DISEASE	C0002871	Anemia	A reduction in the number of circulating ERYTHROCYTES or in the quantity of HEMOGLOBIN.	T047	Disease or Syndrome	ANEMIA, Anemia (disorder), Anaemia, Anemia, unspecified, Anaemia, NOS, Anemia, ANAEMIA, Anemia, NOS, anemia, anaemias, Anemia; unspecified, anemias, Anemias, Low number of red blood cells or haemoglobin, anaemia	1.0
DUQ6xnzftz	Pasteurella Multocida infectious disease	infectious disease	DISEASE	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	T047	Disease or Syndrome	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	1.0
CcciPVpM4o	Acquired Creutzfeldt-Jakob disease	Acquired Creutzfeldt-Jakob disease	DISEASE	C5681100	Acquired Creutzfeldt-Jakob disease	A group of human prion diseases characterized by progressive, invariably fatal neurodegeneration resulting from accidental transmission of prions. The group comprises iatrogenic Creutzfeldt-Jakob disease (CJD), which results from transmission of CJD prions in the course of medical procedures or treatments, and variant CJD (transmission via consumption of products from prion-diseased cows or via blood transfusion from an affected individual).	T047	Disease or Syndrome		1.0
oSZMQq9rt6	Herpes Simplex encephalitis	Herpes Simplex encephalitis	DISEASE	C0276226	Herpes encephalitis	An acute (or rarely chronic) inflammatory process of the brain caused by SIMPLEXVIRUS infections which may be fatal. The majority of infections are caused by human herpesvirus 1 (HERPESVIRUS 1, HUMAN) and less often by human herpesvirus 2 (HERPESVIRUS 2, HUMAN). Clinical manifestations include FEVER; HEADACHE; SEIZURES; HALLUCINATIONS; behavioral alterations; APHASIA; hemiparesis; and COMA. Pathologically, the condition is marked by a hemorrhagic necrosis involving the medial and inferior TEMPORAL LOBE and orbital regions of the FRONTAL LOBE. (From Adams et al., Principles of Neurology, 6th ed, pp751-4)	T047	Disease or Syndrome	Herpes encephalitis, Herpes Encephalitis, Herpetic Encephalitides, herpetic encephalitis, Herpetic encephalitis, HSVE, herpes simplex encephalitis, STRUMPELL-LEICHTENSTERN ENCEPHALITIS, ENCEPHALITIS, HERPES, Encephalitis due to Herpesvirus, Encephalitis, Herpetic, HERPETIC ENCEPHALITIS, HSV encephalitis, encephalitis herpes, herpes encephalitis, Encephalitis, Herpes Simplex, Encephalitis caused by Herpesviridae, HSE, Herpes Simplex Encephalitides, Encephalitis, Herpes, Encephalitides, Herpes Simplex, Encephalitis caused by Herpesvirus, Herpes simplex encephalitis, HERPES SIMPLEX ENCEPHALITIS, hsv encephalitis, Encephalitis caused by Herpesvirus (disorder), Herpetic Encephalitis, HEMMORRHAGIC ENCEPHALITIS, Encephalitis due to Herpesviridae, encephalitis hsv, Herpes Simplex Encephalitis, Herpes simplex virus encephalitis, Herpes simplex neuroinvasion, Encephalitides, Herpetic, Herpes simplex meningo-encephalitis	1.0
ytwbkcwADp	Picornaviridae infectious disease	Picornaviridae infectious disease	DISEASE	C0031887	Picornaviridae Infections	Virus diseases caused by the PICORNAVIRIDAE.	T047	Disease or Syndrome	Picornavirus infection, Picornavirus Infections, Infection, Picornaviridae, Picornavirus Infection, Picornavirus infections, DISEASES DUE TO PICORNAVIRIDAE, Disease caused by Picornaviridae (disorder), Infections, Picornavirus, Infection, Picornavirus, Disease due to Picornaviridae, Picornaviridae Infection, Disease caused by Picornaviridae, Infections, Picornaviridae	0.846
vYNTWcLWsy	Iatrogenic Kaposi's Sarcoma	Kaposi's Sarcoma	DISEASE	C0036220	Kaposi Sarcoma	A multicentric, malignant neoplastic vascular proliferation characterized by the development of bluish-red cutaneous nodules, usually on the lower extremities, most often on the toes or feet, and slowly increasing in size and number and spreading to more proximal areas. The tumors have endothelium-lined channels and vascular spaces admixed with variably sized aggregates of spindle-shaped cells, and often remain confined to the skin and subcutaneous tissue, but widespread visceral involvement may occur. Kaposi's sarcoma occurs spontaneously in Jewish and Italian males in Europe and the United States. An aggressive variant in young children is endemic in some areas of Africa. A third form occurs in about 0.04% of kidney transplant patients. There is also a high incidence in AIDS patients. (From Dorland, 27th ed & Holland et al., Cancer Medicine, 3d ed, pp2105-7) HHV-8 is the suspected cause.	T191	Neoplastic Process	KS - Kaposi's sarcoma, Multiple haemorrhagic sarcoma, KAPOSIS SARCOMA, KAPOSI CANCER, SARCOMA, Kaposi's Sarcoma, Sarcoma, Kaposi, Kaposi Sarcoma, Multiple hemorrhagic sarcoma, Skin cancer, Kaposi sarcoma, SARCOMA, MULTIPLE IDIOPATHIC HEMORRHAGIC, Sarcoma, Kaposi's, Kaposi's sarcoma, unspecified, Kaposi's sarcoma (clinical), Kaposi's sarcoma, unspecified site, ks, sarcoma, Kaposi's, Kaposi sarcoma, Multiple Idiopathic Pigmented Hemangiosarcoma, sarcoma, multiple hemorrhagic, KAPOSI SARCOMA, Kaposi's sarcoma, kaposi sarcoma, multiple hemorrhagic sarcoma, KS, ENDOTHELIOSARCOMA, kaposi's sarcoma, Kaposi's sarcoma (disorder), HHV8, Kaposi sarcoma (morphologic abnormality), Kaposis Sarcoma, Multiple Hemorrhagic Sarcoma, HHV 8	1.0
XcJKdJZ263	Parasitic Endophthalmitis									
jP4vgKpuK6	Lassa fever	Lassa fever	DISEASE	C0023092	Lassa Fever	An acute febrile human disease caused by the LASSA VIRUS.	T047	Disease or Syndrome	Lassa hemorrhagic fever, Lassa fever, Lassa Fevers, Lassa Fever, Infection, Lassa Virus, Virus Infection, Lassa, LASSA FEVER, Lassa Virus Infection, fever lassa, Lassa fever (disorder), Lassa haemorrhagic fever, LF, Lassa Virus Infections, lassa fever, Fever, Lassa	1.0
BhrJHCMXC2	Klebsiella infections	Klebsiella infections	DISEASE	C0022729	Klebsiella Infections	Infections with bacteria of the genus KLEBSIELLA.	T047	Disease or Syndrome	infection klebsiella, Klebsiella Infection, Klebsiella infections, klebsiella infection, Klebsiella infection, Infections, Klebsiella, Infection, Klebsiella, Infection caused by Klebsiella (disorder), Infection caused by Klebsiella	1.0
d6FwvVFX6Y	Heartwater disease	Heartwater disease	DISEASE	C0018835	Heartwater Disease	A tick-borne septicemic disease of domestic and wild ruminants caused by EHRLICHIA RUMINANTIUM.	T047	Disease or Syndrome	Cowdriosis, COWDRIOSES, Heartwater, Disease, Heartwater, Heartwater (disorder)	1.0
nLzsMXku76	Viral respiratory tract infection	Viral respiratory tract infection	DISEASE	C0877203	Viral Respiratory Tract Infection	A respiratory tract infection caused by a virus. Viruses represent the most common causes of upper and lower respiratory tract infections and include rhinoviruses, influenza viruses, parainfluenza viruses, and respiratory syncytial virus.	T047	Disease or Syndrome		1.0
P62ZWpAep4	Primary viral infectious disease	viral infectious disease	DISEASE	C0042769	Virus Diseases	A general term for diseases caused by viruses.	T047	Disease or Syndrome	Viral disease (disorder), viral diseases, Viral disease, NOS, VIRAL DISEASES, Virus diseases, Viral illness, NOS, Viral infection NOS, VIRAL INFECTION, Infection, Viral, Disease, Viral, Disease caused by virus, Infections, Virus, Viral Infectious Disease, Viral Infections, Viral infectious disease, NOS, viral disease, Disease caused by virus, NOS, Disease due to virus, Viral Disease, diseases caused by viruses, Viral disease, viral disorder, viral infection nos, Viral Diseases, Viral infection, Virus Diseases, Viral Infection, Viral infections, virus disease, viral infectious disease, virus infection, VIRAL DISEASES: GENERAL TERMS, Viral Disorder, Virus Infection, viral infection, Viral infectious disease, Diseases, Virus, INFECTION VIRAL, Viral infection, NOS, Virus Disease, Viral illness, Virus Infections, Infection, Virus, Diseases Caused by Viruses, Disease, Virus, Diseases, Viral, Infections, Viral	1.0
DKrecwbSQm	Toxocariasis	Toxocariasis	DISEASE	C0040553	Toxocariasis	Infection by round worms of the genus TOXOCARA, usually found in wild and domesticated cats and dogs and foxes, except for the larvae, which may produce visceral and ocular larva migrans in man.	T047	Disease or Syndrome	Infection caused by Toxocara (disorder), toxocarosis, toxocariasis, TOXOCARIASIS, Infection due to Toxocara, Toxocarosis, Infection caused by Toxocara, Toxocara infection, Toxocariasis, Toxocariases	1.0
hEHSvtFbTZ	Plasmodium Vivax malaria	Plasmodium Vivax	DISEASE	C0032154	Plasmodium vivax	A protozoan parasite that causes vivax malaria (MALARIA, VIVAX). This species is found almost everywhere malaria is endemic and is the only one that has a range extending into the temperate regions.	T204	Eukaryote	Plasmodium vivax, Haemamoeba vivax, plasmodium vivax, Plasmodium vivax (organism), Pv - Plasmodium vivax, vivax, Plasmodium, Plasmodium vivaxs	1.0
fRKGUnBpjR	Pasteurellaceae infections	Pasteurellaceae infections	DISEASE	C0085397	Pasteurellaceae Infections	Infections with bacteria of the family PASTEURELLACEAE.	T047	Disease or Syndrome	Pasteurellaceae Infection, Infections, Pasteurellaceae, Infection, Pasteurellaceae	1.0
GafddGsAVQ	Systemic Mycosis	Systemic Mycosis	DISEASE	C0553576	Systemic mycosis		T047	Disease or Syndrome	systemic mycosis, Systemic fungal infection, Systemic mycosis, NOS, Disseminated mycosis, systemic fungal infection, Systemic mycosis, fungal infection systemic, fungal infections systemic, Systemic fungal infection, NOS, Systemic mycosis (disorder)	1.0
WdGFcKEBtb	Salmonellosis	Salmonellosis	DISEASE	C0036114	Salmonella food poisoning	Poisoning caused by ingestion of food harboring species of SALMONELLA. Conditions of raising, shipping, slaughtering, and marketing of domestic animals contribute to the spread of this bacterium in the food supply.	T047	Disease or Syndrome	Salmonella gastroenteritis, Salmonella enteritis, salmonella food poisoning, salmonella poisoning, Salmonella gastroenteritis (disorder), poisoning salmonella, Salmonella food poisoning, FOOD POISONING, SALMONELLA, salmonella poison, GASTROENTERITIS, SALMONELLA, NONTYPHOID, Food Poisoning, Salmonella, Poisoning, Salmonella Food, Salmonellosis, Salmonella Food Poisonings, Food Poisonings, Salmonella, salmonella enteritis, salmonellosis, salmonella gastroenteritis, Salmonella food poisoning (disorder), Salmonella Food Poisoning, Poisonings, Salmonella Food, Enteric paratyphosis	1.0
UQeXJDUZxW	Congenital Rubella									
Qo9zXxp6b7	Pasteurellosis									
ue2rztQykN	Primary Actinomycetales infectious disease									
iMfmjzXdFu	Pseudomonas Aeruginosa infectious disease	Aeruginosa infectious disease	DISEASE	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	T047	Disease or Syndrome	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	0.702
En8tWDBqaG	Anaerobic pneumonia	pneumonia	DISEASE	C0032285	Pneumonia	Infection of the lung often accompanied by inflammation.	T047	Disease or Syndrome	Lung inflamed, Pulmonitis, PNEUMONIA, Pneumonias, Pneumonia (disorder), Pneumonia, NOS, Pneumonia, pneum, pulmonary inflammation, pneumonia, unspecified pneumonia, inflammation lungs, lung inflammation, Pulmonary inflammation, Pneumonitis, NOS	1.0
qLhAbyphZY	Tertiary Syphilis									
9sYTNKkAUp	Leprosy									
NdcauBisxJ	Black Piedra									
niMyqCj6Ft	Arbovirus infections	Arbovirus infections	DISEASE	C0003723	Arbovirus Infections	Infections caused by arthropod-borne viruses, general or unspecified.	T047	Disease or Syndrome	Arbovirus infection, NOS, Arbovirus infection NOS, Infections, Arbovirus, ARTHROPOD-BORNE VIRAL DISEASES, Arbovirus Infection, Arbovirus infection, Arthropod-borne viral disease, unspecified, Arbovirus infection (disorder), Infection, Arbovirus, Arthropod-Borne Viral Infection, Arboviral disease, Arthropod-borne viral infection, Arbovirus infections	1.0
VS28djyVTC	Mycobacterium Avium complex disease									
tN8oXmwj26	Congenital Toxoplasmosis	Toxoplasmosis	DISEASE	C0040558	Toxoplasmosis	The acquired form of infection by Toxoplasma gondii in animals and man.	T047	Disease or Syndrome	Toxoplasmosis (disorder), Toxoplasma gondii Infection, Toxoplasmosis, toxoplasmoses, Infection by Toxoplasma gondii, Toxoplasmosis, unspecified, toxoplasmosis, TOXOPLASMOSIS, Infection, Toxoplasma gondii	1.0
kqMkD2qPyd	Circoviridae infections									
74unpNNZeu	Coronavirus infectious disease	Coronavirus infectious disease	DISEASE	C0206750	Coronavirus Infections	Virus diseases caused by the CORONAVIRUS genus. Some specifics include transmissible enteritis of turkeys (ENTERITIS, TRANSMISSIBLE, OF TURKEYS); FELINE INFECTIOUS PERITONITIS; and transmissible gastroenteritis of swine (GASTROENTERITIS, TRANSMISSIBLE, OF SWINE).	T047	Disease or Syndrome	Coronavirus infection (disorder), Infections, Coronavirus, Coronavirus Infections, Coronavirus Infection, Coronavirus infection, corona infection virus, corona infections virus, Coronavirus, Coronavirus infections, Infection, Coronavirus, coronavirus infection	0.818
MNFhTkhE3H	Streptococcal Meningitis	Streptococcal Meningitis	DISEASE	C0154639	Streptococcal meningitis		T047	Disease or Syndrome	Streptococcal meningitis, streptococcal meningitis, Streptococcal meningitis (disorder)	1.0
